item_type,title,creators,first_name,last_name,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,number_of_discs,number_of_players,age_group,ensemble,aspect_ratio,esrb,rating,review,review_date,status,began,completed,added,copies,cover
book,Textbook on Contract Law,Jill Poole,Jill,Poole,9780199282487.0,019928248X,"This is a new edition of the established Textbook on Contract Law by Professor Jill Poole. Designed specifically for undergraduates new to the subject, this title offers a well-structured and straightforward account of the modern law of contract. The text opens with an overview of the keytheories and issues surrounding contract contract law which places the subject in its wider context, then goes on to a detailed treatment of all key topics, offering succinct explanations of complex ideas.Other features of the book include chapter summaries that draw key themes and issues together, selected further reading lists, and useful web links to guide students towards the most relevant and up-to-date resources available.Online Resource CentreLecturer resources- TestbankStudent resources- Guidance on answering questions in contract law- Questions and answers- Student questions- Updates- Web links","Oxford University Press, Incorporated",2006,Law,to read,,,680.0,,,,,,,,,,,,,2020-05-27,1,9780199282487.jpg
book,Lust For Life,Irving Stone,Irving,Stone,9780099416425.0,0099416425,,,2001,Biography,to read,,,,,,,,,,,,,,,,2020-05-27,1,9780099416425.jpg
book,The Origin of Species,Charles Darwin,Charles,Darwin,9780007902231.0,0007902239,,,2011,Biology,to read,,,,,,,,,,,,,,,,2020-05-27,1,9780007902231.jpg
book,Advanced Marathoning,"Pete D. Pfitzinger, Scott M. Douglas",Pete,Pfitzinger,9781492568667.0,149256866X,"If you've set your sights on shaving minutes off your time, it's time to ramp up your training with Advanced Marathoning, Third Edition. Find the plan that works best for you from the detailed day-by-day training schedules by choosing between 18- and 12-week preparation and selecting weekly distances of 55, 55 to 70, 70 to 85, or 85-plus miles. If you run marathons close together, you'll find 6- to 12-week training plans to maximize your training time and recovery. For older marathoners, there is a full chapter dedicated to their unique training, nutrition, and recovery needs. Complement your running workouts with strength, core, and flexibility exercises to help keep injury at bay. Learn how current technologies such as GPS and online logs can help you analyze your training and performance and set goals for future races. Draw inspiration and insights from elite marathoners such as Galen Rupp, Eliud Kipchoge, and Molly Huddle. Implement cutting-edge nutrition and hydration strategies and recovery techniques to feel and run your best. Advanced Marathoning gives ambitious marathoners the information needed to train smarter, remain injury-free, and cross the next finish line stronger and faster than ever. CE exam available! For certified professionals, a companion continuing education exam can be completed after reading this book. Advanced Marathoning Online CE Exam, Third Edition, may be purchased separately or as part of the Advanced Marathoning With CE Exam, Third Edition, package that includes both the book and the exam.",Human Kinetics,2019-07-19,Running,,,,296.0,,,,,,,,,,,,,2020-05-27,1,9781492568667.jpg
book,How to win friends and influence people,Dale Carnegie,Dale,Carnegie,9780091906818.0,0091906814,"The most famous confidence-boosting book ever published; with sales of over 16 million copies worldwide Millions of people around the world have improved their lives based on the teachings of Dale Carnegie. In How to Win Friends and Influence People, he offers practical advice and techniques, in his exuberant and conversational style, for how to get out of a mental rut and make life more rewarding. His advice has stood the test of time and will teach you how to: - make friends quickly and easily - increase your popularity - persuade people to follow your way of thinking - enable you to win new clients and customers - become a better speaker - boost enthusiasm among your colleagues This classic book will turn your relationships around and improve your interactions with everyone in your life. Dale Carnegie, known as 'the arch-priest of the art of making friends', pioneered the development of personal business skills, self-confidence and motivational techniques. His books - most notably How to Win Friends and Influence People - have sold tens of millions worldwide and, even in today's changing climate, they remain as popular as ever.",,2006,Business,,,,,,,,,,,,,,,,,2020-05-27,1,9780091906818.jpg
book,High-Frequency Trading,Irene Aldridge,Irene,Aldridge,9781118343500.0,1118343506,"A fully revised second edition of the best guide tohigh-frequency trading High-frequency trading is a difficult, but profitable, endeavorthat can generate stable profits in various market conditions. Butsolid footing in both the theory and practice of this disciplineare essential to success. Whether you're an institutional investorseeking a better understanding of high-frequency operations or anindividual investor looking for a new way to trade, this book haswhat you need to make the most of your time in today's dynamicmarkets. Building on the success of the original edition, the SecondEdition of High-Frequency Trading incorporates thelatest research and questions that have come to light since thepublication of the first edition. It skillfully covers everythingfrom new portfolio management techniques for high-frequency tradingand the latest technological developments enabling HFT to updatedrisk management strategies and how to safeguard information andorder flow in both dark and light markets. Includes numerous quantitative trading strategies and tools forbuilding a high-frequency trading system Address the most essential aspects of high-frequency trading,from formulation of ideas to performance evaluation The book also includes a companion Website where selectedsample trading strategies can be downloaded and tested Written by respected industry expert Irene Aldridge While interest in high-frequency trading continues to grow,little has been published to help investors understand andimplement this approach?until now. This book has everythingyou need to gain a firm grip on how high-frequency trading worksand what it takes to apply it to your everyday tradingendeavors.","John Wiley &amp; Sons, Incorporated",2013-04-22,Finance,,,,320.0,,,,,,,,,,,,,2020-05-27,1,9781118343500.jpg
book,Syntactic Structures,Noam Chomsky,Noam,Chomsky,9781614278047.0,1614278040,"2015 Reprint of 1957 Edition. Full facsimile of the original edition. Not reproduced with Optical Recognition Software. American linguist Paul Postal wrote in 1964 that most of the ""syntactic conceptions prevalent in the United States"" were ""versions of the theory of phrase structure grammars in the sense of Chomsky"". British linguist John Lyons wrote in 1966 that ""no work has had a greater influence upon the current linguistic theory than Chomsky's Syntactic Structures."" Prominent historian of linguistics R. H. Robins wrote in 1967 that the publication of Chomsky's ""Syntactic Structures"" was ""probably the most radical and important change in direction in descriptive linguistics and in linguistic theory that has taken place in recent years"". Another historian of linguistics Frederick Newmeyer considers ""Syntactic Structures"" ""revolutionary"" for two reasons. Firstly, it showed that a formal yet non-empiricist theory of language was possible and more importantly, it demonstrated this possibility in a practical sense by formally treating a fragment of English grammar. Secondly, it put syntax at the center of the theory of language. Syntax was recognized as the focal point of language production, in which a finite set of rules can produce an infinite number of sentences. As a result, morphology and phonology were relegated in importance. ""Syntactic Structures"" also initiated an interdisciplinary dialog between philosophers of language and linguists. American philosopher John Searle wrote that ""Chomsky's work is one of the most remarkable intellectual achievements of the present era, comparable in scope and coherence to the work of Keynes or Freud. It has done more than simply produce a revolution in linguistics; it has created a new discipline of generative grammar and is having a revolutionary effect on two other subjects, philosophy and psychology"". With its formal and logical treatment of language, Syntactic Structures also brought linguistics and the new field of computer science closer together.",Martino Fine Books,2015-03-27,Linguistics,,,,120.0,,,,,,,,,,,,,2020-05-27,1,9781614278047.jpg
book,Robert Nozick,Jonathan Wolff,Jonathan,Wolff,9780745606033.0,0745606032,"Robert Nozick's Anarchy, State and Utopia is one of the works which dominates contemporary debate in political philosophy. Drawing on traditional assumptions associated with individualism and libertarianism, Nozick mounts a powerful argument for a minimal `nightwatchman' state and challenges the views of many contemporary philosophers, most notably John Rawls. Jonathan Wolff's new book is the first full-length study of Nozick's work and of the debates to which it has given rise. He situates Nozick's work in the context of current debates and examines the traditions which have influenced his thought. He then critically reconstructs the key arguments of Anarchy, State and Utopia, focusing on Nozick's Doctrine of Rights, his Derivation of the Minimal State, and his Entitlement Theory of Justice. The book concludes by assessing Nozick's place in contemporary political philosophy.",Polity Press,1991,Philosophy,,,,184.0,,,,,,,,,,,,,2020-05-27,1,9780745606033.jpg
book,"Language, Truth and Logic",Alfred Jules Ayer,Alfred,Ayer,9780486200101.0,0486200108,"""A delightful book ... I should like to have written it myself."" -- Bertrand Russell First published in 1936, this first full-length presentation in English of the Logical Positivism of Carnap, Neurath, and others has gone through many printings to become a classic of thought and communication. It not only surveys one of the most important areas of modern thought; it also shows the confusion that arises from imperfect understanding of the uses of language. A first-rate antidote for fuzzy thought and muddled writing, this remarkable book has helped philosophers, writers, speakers, teachers, students, and general readers alike. Mr. Ayers sets up specific tests by which you can easily evaluate statements of ideas. You will also learn how to distinguish ideas that cannot be verified by experience -- those expressing religious, moral, or aesthetic experience, those expounding theological or metaphysical doctrine, and those dealing with a priori truth. The basic thesis of this work is that philosophy should not squander its energies upon the unknowable, but should perform its proper function in criticism and analysis.","Dover Publications, Incorporated",1952-06-01,Philosophy,,,,160.0,,,,,,,,,,,,,2020-05-27,1,9780486200101.jpg
book,Basic Income,Guy Standing,Guy,Standing,9780141985480.0,0141985488,,,2017-07-25,Politics,,,,,,,,,,,,,,,,,2020-05-27,1,9780141985480.jpg
